,ROI,Pval,FDR,COR
1,X10000.28,0.780439121756487,0.00596897995998786,0.160938623694693
2,X10001.7,0.415169660678643,0.0112701011334665,0.162054882155366
3,X10003.15,0.121252498334444,0.0233541118101344,0.489873502370786
4,X10006.25,0.952095808383233,0.00348211664572431,-0.0102812867332286
5,X10008.43,0.798403193612774,0.00596897995998786,0.245232567627796
6,X10010.10,0.112591605596269,0.0256497692046217,0.507321275722936
7,X10011.65,0.337325349301397,0.0161398666901515,0.208506943953275
8,X10012.5,0.387225548902196,0.0112701011334665,0.320817753809732
9,X10014.31,0.373253493013972,0.0112701011334665,0.34642197107587
10,X10015.119,0.405189620758483,0.0112701011334665,0.413078859980089
11,X10022.207,0.552894211576846,0.00910301271529395,0.404205693673098
12,X10023.32,0.141905396402398,0.0227829471818838,0.578574943627117
13,X10024.44,0.437125748502994,0.0108888824640821,0.352680418386576
14,X10025.1,0.481037924151697,0.0108888824640821,0.0172437013067368
15,X10030.8,0.457085828343313,0.0108888824640821,0.417245099272829
16,X10035.6,0.145236508994004,0.0227829471818838,0.616466725414747
17,X10037.98,0.419161676646707,0.0108888824640821,0.408994832801258
18,X10039.32,0.123917388407728,0.0233541118101344,0.307060053757135
19,X10040.63,0.269461077844311,0.0161398666901515,0.380797432442364
20,X10041.3,0.439121756487026,0.0108888824640821,-0.00145161911979399
21,X10042.8,0.158560959360426,0.0198733694871693,0.226191606935046
22,X10043.31,0.702594810379242,0.00596897995998786,0.193346378103567
23,X10045.47,0.808383233532934,0.00596897995998786,0.182321572646515
24,X10046.55,0.341317365269461,0.0153488243551121,0.219318824905594
25,X10047.12,0.652694610778443,0.00808179673693545,0.0530741647680815
26,X10048.7,0.790419161676647,0.00596897995998786,0.0834951572381008
27,X10049.112,0.00444433470778499,0.0976637551659937,0.717400483965991
28,X10053.5,0.844311377245509,0.00596897995998786,0.187050554797071
29,X10054.3,0.401197604790419,0.0112701011334665,0.398374308085545
30,X10056.5,0.425149700598802,0.0108888824640821,0.227917740793627
31,X10058.1,0.812375249500998,0.00596897995998786,-0.150960166710727
32,X10063.10,0.68063872255489,0.00692413269900656,0.27417267797918
33,X10064.12,0.243512974051896,0.0161398666901515,0.211975945194447
34,X10069.2,0.0499888913574761,0.042119706338847,0.634673850964558
35,X10070.22,0.926147704590818,0.00421559397557602,0.0169921445472269
36,X10073.22,0.750499001996008,0.00596897995998786,0.00122071966720315
37,X10074.128,0.223552894211577,0.0161398666901515,0.277358094922911
38,X10075.75,0.964071856287425,0.00325225256030763,0.082459474422907
39,X10076.1,0.0879413724183877,0.0318959894298164,0.424225061887114
40,X10078.5,0.0686209193870753,0.0318959894298164,0.470466632905001
41,X10080.9,0.00851788756388416,0.0828000660695243,0.800053789573744
42,X10081.17,0.307385229540918,0.0161398666901515,0.361075265576191
43,X10082.251,0.868263473053892,0.0054055845459937,-0.198682834135573
44,X10085.25,0.530938123752495,0.0108888824640821,0.0284460995743821
45,X10086.39,0.487025948103792,0.0108888824640821,0.191154000591854
46,X10087.10,0.369261477045908,0.0112701011334665,0.403128164087492
47,X10088.37,0.363273453093812,0.0112701011334665,0.285045797110541
48,X10089.7,0.686626746506986,0.00663865277310918,0.147977254096182
49,X10336.3,0.16655562958028,0.0161398666901515,0.526653908298514
50,X10339.48,0.906187624750499,0.00445712736617676,-0.213634091084346
51,X10342.55,0.345309381237525,0.0143112213089285,0.350012162690032
52,X10346.5,0.62874251497006,0.00812969870481637,0.0287311952489622
53,X10351.51,0.940119760479042,0.00349516628620285,-0.249064792262868
54,X10354.57,0.273453093812375,0.0161398666901515,0.253228970687119
55,X10356.21,0.169220519653564,0.0161398666901515,0.389872963241512
56,X10361.25,0.171219187208528,0.0161398666901515,0.366695666763512
57,X10362.35,0.650698602794411,0.00810523810349905,0.226201002274758
58,X10363.13,0.0335481004221284,0.0540374387780116,0.571248727408017
59,X10364.6,0.36127744510978,0.0112701011334665,0.322308592663287
60,X10365.132,0.027771606309709,0.0629874248817606,0.477523961999169
61,X10366.11,0.325349301397206,0.0161398666901515,0.0973849362769567
62,X10367.62,0.339321357285429,0.0161398666901515,0.486940862772561
63,X10370.21,0.67065868263473,0.00778629743023976,0.309761644807768
64,X10372.18,0.153897401732179,0.0199967661301087,0.330405923474571
