,ROI,Pval,FDR,COR
113,X10539.30,0.652694610778443,0.047095711180184,NA
114,X10546.2,0.560878243512974,0.0630712003601277,NA
115,X10550.37,0.307385229540918,0.142394100195188,NA
116,X10551.7,0.574850299401198,0.059962882023042,NA
117,X10552.88,0.12375249500998,0.267056307157112,NA
118,X10553.8,0.301397205588822,0.146998336894103,NA
119,X10557.6,0.896207584830339,0.0121625762470478,NA
120,X10558.26,0.0151077538324817,0.472135655145433,NA
121,X10560.1,0.3812375249501,0.115288411795119,NA
122,X10561.5,0.590818363273453,0.0575375239511968,NA
123,X10562.42,0.105788423153693,0.283816489248328,NA
124,X10563.13,0.447105788423154,0.0932748356090259,NA
125,X10565.19,0.006147692763499,0.556392210452535,NA
126,X10569.28,0.626746506986028,0.0495438204067621,NA
127,X10571.14,0.0184403465896467,0.469422461995531,NA
128,X10572.65,0.0355476560764275,0.435329015578805,NA
129,X10574.10,0.530938123752495,0.0693462441177429,NA
130,X10575.31,0.153692614770459,0.235159326287644,NA
131,X10576.7,0.213572854291417,0.190534995477929,NA
132,X10580.14,0.489021956087824,0.0808172369618439,NA
133,X10582.36,0.000510283865976412,0.568872494886232,NA
134,X10583.1,0.491017964071856,0.0800990119335581,NA
135,X10584.7,0.640718562874252,0.0480095376587862,NA
136,X10588.39,0.055962691538974,0.379172905287475,NA
137,X10589.7,0.00249376558603491,0.556392210452535,NA
138,X10605.22,0.974051896207585,0.0030854260670136,NA
139,X10606.34,0.0379746835443038,0.425557978593821,NA
140,X10608.9,0.205588822355289,0.194360319712137,NA
141,X10612.18,0.770459081836327,0.029809520339061,NA
142,X10613.33,0.49500998003992,0.0790940277566133,NA
143,X10615.18,0.534930139720559,0.068870041943753,NA
144,X10616.67,0.962075848303393,0.00427992864671486,NA
145,X10618.190,0.0208842479449011,0.465206231533073,NA
146,X10620.21,0.261477045908184,0.163158162295968,NA
147,X10621.26,0.379241516966068,0.115819506545266,NA
148,X10623.19,0.6187624750499,0.0516575941457936,NA
149,X10624.45,0.367265469061876,0.119625507900767,NA
150,X10626.116,0.664670658682635,0.0448697250565409,NA
151,X10627.87,0.373253493013972,0.11794930534739,NA
152,X10630.5,0.261477045908184,0.163158162295968,NA
153,X10631.9,0.88622754491018,0.0141250178687087,NA
154,X10636.1,0.994011976047904,0.00111852064501719,NA
155,X10637.50,0.850299401197605,0.0182052825234581,NA
156,X10638.1,0.996007984031936,0.00105496099597207,NA
157,X10643.16,0.99001996007984,0.00187009821663076,NA
158,X10647.18,0.69061876247505,0.0399347795607551,NA
159,X10663.42,0.890219560878243,0.0132548097354744,NA
160,X10666.7,0.119760479041916,0.271992034732812,NA
161,X10667.78,0.231536926147705,0.17770911045374,NA
162,X10668.5,0.303393213572854,0.145594953967387,NA
163,X10672.75,0.882235528942116,0.0148655991062177,NA
164,X10693.43,0.588822355289421,0.0578111949173633,NA
165,X10695.12,0.49500998003992,0.0790940277566133,NA
166,X10699.52,0.832335329341317,0.0205045463995752,NA
167,X10700.10,0.736526946107784,0.0350173574125299,NA
168,X10702.1,0.0779480346435709,0.331528349019156,NA
169,X10703.203,0.499001996007984,0.0784139843964033,NA
170,X10704.91,0.704590818363273,0.0379771109154243,NA
171,X10705.14,0.88622754491018,0.0141250178687087,NA
172,X10708.3,0.289421157684631,0.151513479497896,NA
173,X10710.23,0.429141716566866,0.0981465229974089,NA
174,X10713.151,0.732534930139721,0.0355886762070579,NA
175,X10714.7,0.00481469593343374,0.556392210452535,NA
176,X10716.35,0.932135728542914,0.00787899268859082,NA
177,X10721.76,0.0459693537641572,0.409443017898537,NA
178,X10722.13,0.471057884231537,0.0864210916186952,NA
179,X10737.96,0.449101796407186,0.0925685766044422,NA
180,X10738.11,0.335329341317365,0.133541121623312,NA
181,X10741.22,0.634730538922156,0.0484349719550137,NA
182,X10743.13,0.00585141841345086,0.556392210452535,NA
183,X10746.24,0.137724550898204,0.250164837130883,NA
184,X10748.216,0.74251497005988,0.0346716772626427,NA
185,X10749.18,0.94810379241517,0.00678945122374387,NA
186,X10752.8,0.0812791472351766,0.327212138724948,NA
187,X10753.31,0.255489021956088,0.164037530382714,NA
188,X10754.113,0.249500998003992,0.167435696342026,NA
189,X10756.34,0.0239946678515885,0.460927433553798,NA
