,ROI,Pval,FDR,COR
151,X10627.87,0.30377988238665,0.125081733325225,NA
152,X10630.5,0.87135166215731,0.013097261497929,NA
153,X10631.9,0.801796665228025,0.0197783894179782,NA
154,X10636.1,0.806680507124057,0.0197783894179782,NA
155,X10637.50,0.947931278141465,0.00495288028605957,NA
156,X10638.1,0.834946523259531,0.0166923080224504,NA
157,X10643.16,0.96490627322221,0.00396683742552008,NA
158,X10647.18,0.382221247433802,0.0975437569235167,NA
159,X10663.42,0.600637393365844,0.0490095374016162,NA
160,X10666.7,0.943845263023885,0.00495288028605957,NA
161,X10667.78,0.0895376872601006,0.259685678802322,NA
162,X10668.5,0.937193250609226,0.00543109373849295,NA
163,X10672.75,0.882732234155146,0.0120412634892752,NA
164,X10693.43,0.307259924251449,0.123114143046194,NA
165,X10695.12,0.293170120153999,0.128390857672522,NA
166,X10699.52,0.965198436555663,0.00396683742552008,NA
167,X10700.10,0.517067070313024,0.0634874525879175,NA
168,X10702.1,0.365172845824632,0.103052278831479,NA
169,X10703.203,0.449998880435241,0.0799482579830708,NA
170,X10704.91,0.773833521977521,0.0220395239447033,NA
171,X10705.14,0.618669052112388,0.0453633768111852,NA
172,X10708.3,0.484428093579071,0.0717791058929008,NA
173,X10710.23,0.881355857389361,0.0123632560125512,NA
174,X10713.151,0.695416904411388,0.0318529579208182,NA
175,X10714.7,0.00131578311503582,0.366709200275668,NA
176,X10716.35,0.984933939338648,0.00196406782289121,NA
177,X10721.76,0.275337253021284,0.137421394134173,NA
178,X10722.13,0.338226011714821,0.111678432162188,NA
179,X10737.96,0.221140116137366,0.161311585688481,NA
180,X10738.11,0.603460484668006,0.0484941389184778,NA
181,X10741.22,0.640132090242222,0.0408490264779785,NA
182,X10743.13,0.0122030796203967,0.361889861200211,NA
183,X10746.24,0.0436010333941109,0.321636586545307,NA
184,X10748.216,0.890343309933426,0.0119697620445284,NA
185,X10749.18,0.856381317352206,0.0146447140007884,NA
186,X10752.8,0.807575113730332,0.0195643580134633,NA
187,X10753.31,0.455298268316167,0.0787413478162018,NA
188,X10754.113,0.988159191601291,0.00178441527367351,NA
189,X10756.34,0.0369945812552081,0.330560774093075,NA
190,X10758.2,0.841958521161271,0.0165312535036653,NA
191,X10760.107,0.0225027692313928,0.359292673734415,NA
192,X10761.5,0.19800016790318,0.171549501057095,NA
193,X10762.2,0.414475028133167,0.0905934952186576,NA
194,X10767.52,0.466484592369578,0.0758555095501107,NA
195,X10780.10,0.844202424663058,0.0160569450478512,NA
196,X10781.19,0.137391811756975,0.213083850024661,NA
197,X10785.8,0.229255899990486,0.156753671930693,NA
198,X10798.4,0.585450148783012,0.0528814206211863,NA
199,X10800.15,0.752533372360543,0.0234234841506714,NA
200,X10801.11,0.00964556839597068,0.366709200275668,NA
201,X10809.14,0.239222867488467,0.154848797969555,NA
202,X10814.7,0.459074491776935,0.0777327417335258,NA
203,X10815.2,0.992347989033547,0.00151449686409391,NA
204,X10816.150,0.565268455361956,0.0560387144490335,NA
205,X10817.26,0.522199827760354,0.0630422688202478,NA
206,X10818.36,0.0947667549664438,0.253656110439954,NA
207,X10819.108,0.165840811377571,0.191555469227878,NA
208,X10825.12,0.4858527135036,0.0716778262380432,NA
209,X10827.67,0.0918710851594274,0.254607690504869,NA
210,X10830.5,0.0262300446842283,0.358001659105734,NA
211,X10832.24,0.030992635366793,0.336876750923555,NA
212,X10833.64,0.0077767629494655,0.366709200275668,NA
213,X10835.25,0.869587249527365,0.0135594295082838,NA
214,X10842.7,0.440371940340271,0.0830015836288414,NA
215,X10847.1,0.271205483414512,0.140359948640014,NA
216,X10848.137,0.827928862801885,0.0174498224682775,NA
217,X10851.77,0.670702120644355,0.0358719737558815,NA
218,X10852.114,0.516372061817831,0.063760830838891,NA
219,X10854.15,0.940122988158078,0.00542782853665892,NA
220,X10866.60,0.643968665364805,0.0407335824058265,NA
221,X10870.32,0.375670819220788,0.0998198808062103,NA
222,X10876.300,0.780713414971007,0.0212267246164869,NA
223,X10880.38,0.268374787203466,0.141527622370589,NA
224,X10882.12,0.236589103189985,0.154848797969555,NA
225,X10885.36,0.577408667200099,0.0543167621180219,NA
226,X10889.2,0.140752686825189,0.210018627796165,NA
227,X10890.135,0.893903783749026,0.0116546138529845,NA
228,X10892.8,0.145998852098274,0.203474608009907,NA
229,X10894.25,0.619001551568477,0.0452202551695578,NA
230,X10895.28,0.496884892340946,0.0687038198243087,NA
231,X10900.272,0.757954452717719,0.0234158916344193,NA
232,X10903.50,0.222483759021318,0.161216032355185,NA
233,X10907.116,0.103296058261626,0.243728968382934,NA
234,X10908.2,0.0483417038746745,0.320470308314492,NA
235,X10910.6,0.884469620822061,0.0119697620445284,NA
236,X10916.44,0.0454986976036221,0.321636586545307,NA
237,X10917.40,0.0457239444129704,0.321636586545307,NA
238,X10924.258,0.627329968996233,0.0435104454063623,NA
239,X10933.107,0.476328591303164,0.0743399656714247,NA
240,X10938.13,0.841318431213293,0.0165312535036653,NA
241,X10939.16,0.417918842327689,0.0885293597397085,NA
242,X10940.25,0.958216478559965,0.00470183021436767,NA
243,X10945.11,0.44668609751912,0.0803990911702147,NA
244,X10948.14,0.421927653580949,0.0876949267635324,NA
245,X10949.59,0.387369548787676,0.0962576196937922,NA
246,X10953.14,0.208046101107949,0.166469343808628,NA
247,X10955.4,0.549644666204621,0.0587652039569784,NA
248,X10956.82,0.436682690270812,0.0839648788662547,NA
249,X10959.125,0.450445103115157,0.0797835639088385,NA
250,X10961.15,0.451794361022296,0.079362970381497,NA
251,X10966.1,0.756605356041467,0.0234234841506714,NA
252,X10967.12,0.360048486277678,0.105545874928612,NA
253,X10970.3,0.0656787086022022,0.296462820467675,NA
254,X10974.20,0.633442928461315,0.0423623796621124,NA
255,X10975.59,0.0644429158844711,0.298023166928235,NA
256,X10976.44,0.531354621590516,0.0621103443783642,NA
257,X10977.55,0.15169217948489,0.19981327522576,NA
258,X10978.39,0.377978193136002,0.0983528066826522,NA
259,X10980.11,0.0964834610505407,0.250849636804336,NA
260,X10981.56,0.149414106379095,0.202210351422726,NA
261,X10990.21,0.317219546782092,0.120887659615131,NA
262,X11067.13,0.800671828498288,0.0197783894179782,NA
263,X11071.1,0.842037475431132,0.0165312535036653,NA
264,X11081.1,0.75986751799821,0.0231434815778541,NA
265,X11083.23,0.462603291051588,0.0769081537561924,NA
266,X11089.7,0.33807733380918,0.111678432162188,NA
267,X11094.104,0.82658205628383,0.0175977200378631,NA
268,X11096.57,0.203126575201365,0.169686997356758,NA
269,X11098.1,0.198341505797374,0.171549501057095,NA
270,X11101.18,0.0596639635971685,0.303077149039494,NA
271,X11102.22,0.0518164462213921,0.316314646155584,NA
272,X11103.24,0.674066959770524,0.0353119877357201,NA
273,X11104.13,0.205725312578524,0.168649231795026,NA
274,X11105.171,0.0417255034122889,0.321636586545307,NA
275,X11107.25,0.780545818245219,0.0212267246164869,NA
276,X11109.56,0.0502304209971177,0.320470308314492,NA
277,X11110.4,0.662962564018272,0.0375051490368349,NA
278,X11112.18,0.982999973800431,0.00207041344558958,NA
279,X11116.16,0.184531235698513,0.177635615966264,NA
280,X11117.2,0.729219504345936,0.0265972800950953,NA
281,X11118.107,0.157634933369758,0.196638006127284,NA
282,X11120.49,0.166071667261181,0.191308787232898,NA
283,X11121.56,0.161207345380285,0.194011779620848,NA
284,X11122.97,0.125910244776438,0.219273839448026,NA
285,X11126.102,0.534293302355502,0.061103446890941,NA
286,X11128.29,0.892912228340178,0.011758852155479,NA
287,X11129.66,0.523835328653662,0.0629619211055427,NA
288,X11130.158,0.248288439615498,0.151218318659097,NA
289,X11134.30,0.151702507779898,0.19981327522576,NA
290,X11135.5,0.00353685283552633,0.366709200275668,NA
291,X11137.43,0.578133650955678,0.0541903436403699,NA
292,X11138.16,0.577019542698091,0.0543167621180219,NA
293,X11140.56,0.225755947962202,0.159483231832631,NA
294,X11142.11,0.304233631253952,0.125081733325225,NA
295,X11143.32,0.186758001845919,0.176663961376164,NA
296,X11144.10,0.126890687531891,0.218448068912622,NA
297,X11145.72,0.130695970640828,0.215916946236807,NA
298,X11146.4,0.129070526704364,0.216801165106151,NA
299,X11147.17,0.217185837283979,0.161789576384681,NA
300,X11149.3,0.705464988879769,0.0304195906286547,NA
301,X11150.3,0.0405874712054778,0.323502417614877,NA
302,X11152.46,0.803825344468519,0.0197783894179782,NA
303,X11154.3,0.237317434197269,0.154848797969555,NA
304,X11155.16,0.0995261348941366,0.247173254637231,NA
305,X11158.40,0.63630980319968,0.0419072267991149,NA
306,X11159.14,0.249367398075908,0.150790349364462,NA
307,X11160.56,0.815502573092651,0.0189048189291089,NA
308,X11161.5,0.884578630993735,0.0119697620445284,NA
309,X11162.37,0.120152513278848,0.226424762042619,NA
310,X11163.7,0.243763972238245,0.152863903358391,NA
