,ROI,Pval,FDR,COR
68,X10396.6,0.141239173884077,0.024397419833337,0.62322961357385
69,X10398.110,0.217564870259481,0.0135701529050879,0.416438928900315
70,X10418.36,0.493013972055888,0.0135701529050879,-0.0140301363902145
71,X10419.1,0.844311377245509,0.00841109468571887,0.0369636069265755
72,X10420.30,0.658682634730539,0.0116439379254397,0.26747810627414
73,X10425.3,0.437125748502994,0.0135701529050879,0.227135719075327
74,X10428.1,0.590818363273453,0.0116439379254397,0.134848579988551
75,X10430.31,0.397205588822355,0.0135701529050879,0.410077764591312
76,X10432.3,0.363273453093812,0.0135701529050879,0.541715282231466
77,X10435.2,0.451097804391218,0.0135701529050879,0.53717988354143
78,X10438.19,0.493013972055888,0.0135701529050879,-0.0155842251092987
79,X10439.57,0.365269461077844,0.0135701529050879,0.191327981297215
80,X10440.26,0.590818363273453,0.0116439379254397,-0.0311572264555916
81,X10442.1,0.135909393737508,0.024397419833337,0.423245423277477
82,X10445.20,0.395209580838323,0.0135701529050879,0.134424501836343
83,X10447.18,0.894211576846307,0.00649101428560976,-0.032119511044897
84,X10449.31,0.201596806387226,0.0135701529050879,0.325798998347565
85,X10451.11,0.471057884231537,0.0135701529050879,0.000879449253571884
86,X10453.7,0.56686626746507,0.0116439379254397,0.430129300642727
87,X10454.99,0.493013972055888,0.0135701529050879,0.487095550027803
88,X10455.196,0.365269461077844,0.0135701529050879,0.537524155291643
89,X10457.3,0.94810379241517,0.00442421239665635,-0.166866512871586
90,X10462.14,0.331337325349301,0.0135701529050879,0.341215183427463
91,X10463.23,0.331337325349301,0.0135701529050879,0.104594077006144
92,X10464.6,0.630738522954092,0.0116439379254397,0.226973210955528
93,X10472.53,0.862275449101796,0.00841109468571887,-0.10077796998825
94,X10473.2,0.0146655803273832,0.0909518180890702,0.813262998011463
95,X10479.18,0.0131842085771424,0.0909518180890702,0.477707826699107
96,X10480.33,0.942115768463074,0.00442421239665635,-0.193102953967643
97,X10490.3,0.0154803347900156,0.0909518180890702,0.424395410117179
98,X10496.11,0.351297405189621,0.0135701529050879,0.236146012918672
99,X10499.1,0.548902195608782,0.0116439379254397,0.275786413627099
100,X10505.12,0.497005988023952,0.0135701529050879,0.156489943365422
101,X10506.53,0.489021956087824,0.0135701529050879,0.119581697799514
102,X10507.166,0.147901399067288,0.022796019875228,0.573180459254312
103,X10510.62,0.167221852098601,0.0200744783038694,0.545522332093919
104,X10512.13,0.391217564870259,0.0135701529050879,0.424032725006913
105,X10513.13,0.564870259481038,0.0116439379254397,0.308552570456609
106,X10514.5,0.678642714570858,0.0116439379254397,-0.0842955627436383
107,X10521.10,0.383233532934132,0.0135701529050879,0.0498673949163825
108,X10527.22,0.562874251497006,0.0116439379254397,0.452955148422673
109,X10528.2,0.00999925931412488,0.0909518180890702,0.576545928323229
110,X10530.8,0.401197604790419,0.0135701529050879,0.280709082924433
111,X10531.18,0.3812375249501,0.0135701529050879,0.348452673871655
112,X10534.40,0.786427145708583,0.00841109468571887,0.0948482748638369
113,X10539.30,0.471057884231537,0.0135701529050879,0.211567477544792
114,X10546.2,0.952095808383233,0.00442421239665635,-0.235891628963841
115,X10550.37,0.0331037547211731,0.0647820327325122,0.698064284930189
116,X10551.7,0.339321357285429,0.0135701529050879,0.38015902611288
117,X10552.88,0.291417165668663,0.0135701529050879,0.402889695108378
118,X10553.8,0.0368806931792935,0.0618230958146547,0.329651178118152
119,X10557.6,0.119920053297801,0.0278434087749843,0.258326066276087
120,X10558.26,0.0859427048634244,0.0475661618378223,0.240474965440399
121,X10560.1,0.0016789985267611,0.0945845428220453,0.899046365738483
122,X10561.5,0.630738522954092,0.0116439379254397,0.25403159535248
123,X10562.42,0.0799467021985343,0.047981423525464,0.260195085736431
124,X10563.13,0.0779480346435709,0.047981423525464,0.688774777669643
125,X10565.19,0.0174061180653285,0.0909518180890702,0.351459292653352
126,X10569.28,0.954091816367265,0.00442421239665635,-0.266280283953563
127,X10571.14,0.0564319040213286,0.047981423525464,0.565729941789385
128,X10572.65,0.265469061876248,0.0135701529050879,0.113454900363456
129,X10574.10,0.594810379241517,0.0116439379254397,-0.0255035820554652
130,X10575.31,0.792415169660679,0.00841109468571887,-0.090865044969681
131,X10576.7,0.207861425716189,0.0135701529050879,0.140299421205104
132,X10580.14,0.103930712858095,0.0391203221248968,0.700247731352613
133,X10582.36,0.227544910179641,0.0135701529050879,0.23724900745577
134,X10583.1,0.101932045303131,0.0398569303235907,0.588929093304324
135,X10584.7,0.954091816367265,0.00442421239665635,-0.00764432952056043
136,X10588.39,0.2375249500998,0.0135701529050879,0.436380930918347
137,X10589.7,0.756487025948104,0.00968383001974338,-0.0291766951645651
138,X10605.22,0.534930139720559,0.0117115941424413,0.400463746336585
139,X10606.34,0.180546302465023,0.0135701529050879,0.136958067357173
140,X10608.9,0.544910179640719,0.0116439379254397,0.161776299372644
141,X10612.18,0.706586826347305,0.0116439379254397,-0.106256672976823
142,X10613.33,0.940119760479042,0.00442421239665635,-0.27082866403388
143,X10615.18,0.44311377245509,0.0135701529050879,0.167055985108747
144,X10616.67,0.333333333333333,0.0135701529050879,0.441697847112571
145,X10618.190,0.914171656686627,0.00554470117785874,-0.150679232973971
146,X10620.21,0.642714570858283,0.0116439379254397,-0.034318024857701
147,X10621.26,0.293413173652695,0.0135701529050879,0.460354047630013
148,X10623.19,0.217564870259481,0.0135701529050879,0.425848455783319
149,X10624.45,0.243512974051896,0.0135701529050879,0.525789966793008
150,X10626.116,0.17854763491006,0.0135701529050879,0.310748778577245
151,X10627.87,0.526946107784431,0.012063595710177,-0.00473117198794489
152,X10630.5,0.191872085276482,0.0135701529050879,0.52294779260744
153,X10631.9,0.195869420386409,0.0135701529050879,0.454958734295725
